name,red,green,blue
Apple Braeburn,89.1518,94.7944,152.3424
Apple Braeburn,89.2421,94.9885,152.8668
Apple Braeburn,89.3168,95.2869,153.3133
Apple Braeburn,93.1077,99.0456,156.0707
Apple Braeburn,97.9298,108.5499,159.6844
Apple Braeburn,93.0069,99.2451,156.3976
Apple Braeburn,93.1659,99.5437,156.9347
Apple Braeburn,93.1542,99.9318,157.3219
Apple Braeburn,93.4415,100.2378,157.8981
Apple Braeburn,93.3535,100.5157,158.1784
Apple Braeburn,93.6417,101.013,158.8799
Apple Braeburn,93.5699,101.3605,159.0795
Apple Braeburn,93.7743,101.9098,159.7999
Apple Braeburn,93.8123,102.3125,159.9843
Apple Braeburn,94.3146,102.9017,160.6513
Apple Braeburn,97.5482,108.0353,159.2253
Apple Braeburn,94.414,103.3976,161.0791
Apple Braeburn,94.9288,104.0582,161.6341
Apple Braeburn,98.4324,107.7639,163.8579
Apple Braeburn,98.8094,108.2875,164.3592
Apple Braeburn,98.9944,108.8936,164.6754
Apple Braeburn,95.899,106.1658,163.1738
Apple Braeburn,95.8704,106.6628,163.3368
Apple Braeburn,96.4401,107.3773,163.9244
Apple Braeburn,96.4409,107.8813,164.1119
Apple Braeburn,96.9527,108.5964,164.9013
Apple Braeburn,97.3911,107.5071,158.9912
Apple Braeburn,96.9299,109.1694,164.8413
Apple Braeburn,97.5165,109.7873,165.3947
Apple Braeburn,101.0775,113.5701,167.5895
Apple Braeburn,101.5333,114.1901,168.0129
Apple Braeburn,101.8384,114.9737,168.2741
Apple Braeburn,102.3692,115.5915,168.7484
Apple Braeburn,102.6082,116.3208,168.9932
Apple Braeburn,103.3126,117.17,169.6033
Apple Braeburn,100.2823,115.0308,168.0532
Apple Braeburn,100.817,115.6213,168.5385
Apple Braeburn,97.0179,106.9593,158.4337
Apple Braeburn,101.099,116.4454,168.8116
Apple Braeburn,101.7342,117.2214,169.5971
Apple Braeburn,101.7802,117.7409,169.6185
Apple Braeburn,105.7506,121.4525,171.9819
Apple Braeburn,106.0019,122.1182,172.2159
Apple Braeburn,103.1347,119.7121,170.8749
Apple Braeburn,103.4217,120.4176,171.0997
Apple Braeburn,103.9163,121.026,171.5933
Apple Braeburn,104.0673,121.6367,171.7691
Apple Braeburn,104.5925,122.2312,172.331
Apple Braeburn,96.8655,106.4507,158.2342
Apple Braeburn,92.3693,107.381,159.6218
Apple Braeburn,104.8984,122.8605,172.6212
Apple Braeburn,105.5108,123.6076,173.2142
Apple Braeburn,105.5913,124.0593,173.3551
Apple Braeburn,102.9932,122.1186,172.458
Apple Braeburn,103.0763,122.6629,172.5125
Apple Braeburn,103.6883,123.2437,173.0866
Apple Braeburn,104.0179,123.9857,173.4192
Apple Braeburn,104.2957,124.3394,173.7528
Apple Braeburn,104.4112,124.9146,174.0414
Apple Braeburn,104.8377,125.3092,174.4382
Apple Braeburn,96.6257,105.9798,157.8138
Apple Braeburn,105.1691,126.1201,174.8638
Apple Braeburn,98.5355,120.4907,171.5415
Apple Braeburn,98.6525,121.0916,171.8509
Apple Braeburn,99.0365,121.4983,172.2723
Apple Braeburn,99.0382,121.9712,172.3913
Apple Braeburn,99.5027,122.5633,172.9341
Apple Braeburn,99.4851,122.9685,172.9604
Apple Braeburn,100.1346,123.6412,173.5193
Apple Braeburn,96.8602,121.3016,171.9189
Apple Braeburn,97.4596,121.7944,172.4053
Apple Braeburn,96.4882,105.391,157.5831
Apple Braeburn,97.5221,122.1953,172.5243
Apple Braeburn,98.0467,122.6447,172.893
Apple Braeburn,98.0236,122.9856,172.8916
Apple Braeburn,98.3977,123.3502,173.1907
Apple Braeburn,101.8975,126.6088,174.9009
Apple Braeburn,98.8559,124.0677,173.4346
Apple Braeburn,98.688,124.2213,173.2024
Apple Braeburn,98.6958,124.2507,173.3745
Apple Braeburn,98.2612,124.1422,172.8134
Apple Braeburn,98.8631,124.4315,173.1002
Apple Braeburn,96.0691,104.8939,157.0805
Apple Braeburn,98.7573,124.5901,172.9177
Apple Braeburn,99.0249,124.5908,173.0501
Apple Braeburn,99.0213,124.8672,172.9758
Apple Braeburn,95.6787,121.8698,171.2417
Apple Braeburn,95.6703,121.9691,171.1028
Apple Braeburn,95.9528,121.9959,171.146
Apple Braeburn,99.4964,125.1845,172.9813
Apple Braeburn,99.8909,125.3058,173.1158
Apple Braeburn,99.819,125.2902,172.9231
Apple Braeburn,100.0369,125.3859,173.1601
Apple Braeburn,96.0105,104.3994,156.9299
Apple Braeburn,96.1784,122.3222,170.9649
Apple Braeburn,96.4169,122.1925,171.0623
Apple Braeburn,96.5331,122.356,171.0484
Apple Braeburn,96.6848,122.2041,171.1855
Apple Braeburn,96.625,122.2125,171.0858
Apple Braeburn,96.6123,121.9429,171.0874
Apple Braeburn,96.539,121.9009,170.9459
Apple Braeburn,96.3948,121.4478,170.8073
Apple Braeburn,96.0384,121.2091,170.4994
Apple Braeburn,95.9798,120.8115,170.5187
Apple Braeburn,95.4978,103.9065,156.4059
Apple Braeburn,95.5849,120.5701,170.2391
Apple Braeburn,99.3888,123.7224,172.4743
Apple Braeburn,94.9114,119.8809,169.8862
Apple Braeburn,95.1826,119.7281,169.9211
Apple Braeburn,94.1514,118.9155,169.341
Apple Braeburn,96.7457,120.8198,170.5394
Apple Braeburn,96.5934,120.3888,170.4817
Apple Braeburn,92.2451,116.714,168.1724
Apple Braeburn,95.6747,119.3154,170.0802
Apple Braeburn,94.7834,118.6887,169.4674
Apple Braeburn,95.4436,103.3582,156.1587
Apple Braeburn,94.5238,118.14,169.4112
Apple Braeburn,97.5159,120.7907,170.895
Apple Braeburn,93.3935,117.1839,168.9967
Apple Braeburn,92.7952,116.7783,168.5377
Apple Braeburn,92.5534,116.2691,168.434
Apple Braeburn,95.6699,119.0476,169.9603
Apple Braeburn,91.8762,115.5889,168.0574
Apple Braeburn,94.7086,118.0851,169.508
Apple Braeburn,94.525,117.7022,169.4006
Apple Braeburn,93.8627,117.3318,169.0025
Apple Braeburn,94.8999,102.6929,155.5003
Apple Braeburn,93.6459,116.9729,168.903
Apple Braeburn,93.2571,116.7794,168.6323
Apple Braeburn,96.676,119.5703,170.424
Apple Braeburn,96.1852,119.2289,170.0537
Apple Braeburn,96.0832,119.1344,170.2924
Apple Braeburn,95.4837,118.7825,169.7049
Apple Braeburn,98.9856,121.5102,171.4678
Apple Braeburn,98.8716,121.425,171.3002
Apple Braeburn,98.9017,121.2996,171.3241
Apple Braeburn,98.4516,121.0718,170.9902
Apple Braeburn,94.9068,102.2642,155.392
Apple Braeburn,94.7308,117.6603,169.0656
Apple Braeburn,97.8741,120.5046,170.5608
Apple Braeburn,97.964,120.2785,170.5606
Apple Braeburn,97.4284,119.887,170.0369
Apple Braeburn,97.5692,119.7579,170.0406
Apple Braeburn,97.5494,119.7136,169.8247
Apple Braeburn,97.3242,119.3119,169.7114
Apple Braeburn,96.7897,118.9992,169.2093
Apple Braeburn,96.7791,118.6538,169.1252
Apple Braeburn,96.7703,118.6204,168.7366
Apple Braeburn,94.5527,101.7765,154.8951
Apple Braeburn,96.4646,118.0849,168.5423
Apple Braeburn,96.2663,117.8171,168.0816
Apple Braeburn,96.2887,117.5453,167.9185
Apple Braeburn,95.9071,117.0839,167.3932
Apple Braeburn,96.0456,116.8649,167.2945
Apple Braeburn,92.3195,113.4713,164.9163
Apple Braeburn,95.7377,116.0857,166.6635
Apple Braeburn,95.6334,115.7389,166.2405
Apple Braeburn,99.1424,118.5544,168.0974
Apple Braeburn,98.3625,117.8348,167.249
Apple Braeburn,94.5379,101.4073,154.815
Apple Braeburn,91.9489,106.8153,159.0717
Apple Braeburn,98.2041,117.3335,167.0209
Apple Braeburn,97.8133,116.8805,166.534
Apple Braeburn,94.022,112.9742,163.7741
Apple Braeburn,97.142,115.394,165.3427
Apple Braeburn,96.6936,114.9928,164.937
Apple Braeburn,96.6594,114.4827,164.7012
Apple Braeburn,96.2522,113.9982,164.2453
Apple Braeburn,96.0841,113.4956,163.959
Apple Braeburn,95.5759,112.9514,163.4073
Apple Braeburn,98.8681,115.5932,165.2869
Apple Braeburn,90.7888,97.6289,152.3426
Apple Braeburn,94.9672,112.0048,162.7524
Apple Braeburn,98.0449,114.3333,164.3095
Apple Braeburn,97.3415,113.6433,163.6687
Apple Braeburn,97.1575,113.0917,163.4948
Apple Braeburn,96.7578,112.5846,163.049
Apple Braeburn,96.6285,112.081,162.8666
Apple Braeburn,96.1035,111.5945,162.3873
Apple Braeburn,95.9859,111.0202,162.2168
Apple Braeburn,91.8497,107.1816,159.5435
Apple Braeburn,95.1335,109.7328,161.2659
Apple Braeburn,90.6473,97.1406,152.0892
Apple Braeburn,94.5648,109.1432,160.6434
Apple Braeburn,74.9147,81.5087,146.2208
Apple Braeburn,91.7057,114.6053,156.728
Apple Braeburn,91.7711,114.2333,156.7126
Apple Braeburn,91.0391,113.5956,156.1906
Apple Braeburn,90.9621,113.1246,156.1869
Apple Braeburn,90.534,112.7185,155.9213
Apple Braeburn,90.4662,112.2913,155.8795
Apple Braeburn,90.043,111.8905,155.6989
Apple Braeburn,89.8643,111.6421,155.9621
Apple Braeburn,89.448,111.2577,155.5844
Apple Braeburn,89.6601,111.0438,155.8396
Apple Braeburn,79.0226,87.0481,151.4843
Apple Braeburn,89.1,110.4952,155.6283
Apple Braeburn,89.0421,110.193,155.7234
Apple Braeburn,88.5133,109.7154,155.5411
Apple Braeburn,88.626,109.4423,155.8342
Apple Braeburn,88.1925,109.1583,155.7897
Apple Braeburn,87.7137,108.524,156.0217
Apple Braeburn,87.7469,108.3144,156.3251
Apple Braeburn,87.3389,108.0021,156.2828
Apple Braeburn,87.2848,107.83,156.8235
Apple Braeburn,86.8504,107.4866,156.5526
Apple Braeburn,75.5455,84.0294,150.1839
Apple Braeburn,87.0497,107.3265,156.9151
Apple Braeburn,90.2638,110.1739,158.9532
Apple Braeburn,86.6589,106.7536,157.1238
Apple Braeburn,86.4749,106.6476,157.2167
Apple Braeburn,86.6675,106.5211,157.601
Apple Braeburn,90.0914,109.6246,159.7706
Apple Braeburn,90.3455,109.5831,160.118
Apple Braeburn,86.4934,106.3006,158.0998
Apple Braeburn,86.6853,106.2212,158.4649
Apple Braeburn,86.5568,106.1158,158.5313
Apple Braeburn,75.2541,84.0486,150.004
Apple Braeburn,86.7418,106.2697,159.0754
Apple Braeburn,86.4841,106.0612,158.8691
Apple Braeburn,86.9647,105.8984,159.5147
Apple Braeburn,87.3025,105.8726,159.8034
Apple Braeburn,87.2437,105.9232,159.8085
Apple Braeburn,87.9988,106.2316,160.2464
Apple Braeburn,88.0139,106.2407,160.2465
Apple Braeburn,88.3837,106.2309,160.5075
Apple Braeburn,88.4015,106.3402,160.4715
Apple Braeburn,88.6148,106.4691,160.8558
Apple Braeburn,79.3607,87.8987,152.6542
Apple Braeburn,88.7165,106.52,160.7199
Apple Braeburn,89.3142,106.6827,161.0522
Apple Braeburn,89.3762,106.7918,160.9134
Apple Braeburn,89.7908,106.8036,161.1527
Apple Braeburn,89.9789,107.0504,161.1342
Apple Braeburn,90.3264,107.0117,161.2673
Apple Braeburn,90.4747,107.1548,161.2423
Apple Braeburn,90.772,107.05,161.2318
Apple Braeburn,91.0042,107.2446,161.2242
Apple Braeburn,91.4455,107.3091,161.3445
Apple Braeburn,79.1352,88.0871,152.8149
Apple Braeburn,91.3265,107.225,160.9768
Apple Braeburn,91.5429,107.325,161.1395
Apple Braeburn,91.5602,107.2514,160.7753
Apple Braeburn,91.8594,107.1029,160.8261
Apple Braeburn,91.8759,107.0975,160.5621
Apple Braeburn,92.0391,106.8625,160.5014
Apple Braeburn,91.9263,106.6943,160.1047
Apple Braeburn,92.3458,106.699,160.1179
Apple Braeburn,92.1663,106.4992,159.6971
Apple Braeburn,92.4516,106.3316,159.6397
Apple Braeburn,79.4932,88.5029,153.308
Apple Braeburn,92.1136,105.953,159.0486
Apple Braeburn,92.1171,105.606,158.831
Apple Braeburn,91.8527,105.2851,158.4056
Apple Braeburn,91.8824,105.0343,158.3189
Apple Braeburn,91.6709,104.8241,157.8218
Apple Braeburn,91.6035,104.3228,157.5129
Apple Braeburn,91.3699,103.9691,156.9981
Apple Braeburn,91.1736,103.3752,156.5462
Apple Braeburn,90.863,103.0719,156.0441
Apple Braeburn,90.9648,102.6963,155.8531
Apple Braeburn,79.3159,88.8137,153.5936
Apple Braeburn,90.6192,102.2167,155.2802
Apple Braeburn,90.6905,101.8277,155.0448
Apple Braeburn,90.352,101.4954,154.5238
Apple Braeburn,90.4283,101.1134,154.2722
Apple Braeburn,89.992,100.5734,153.6206
Apple Braeburn,90.1231,100.3775,153.6596
Apple Braeburn,89.6384,99.818,152.7696
Apple Braeburn,89.653,99.3483,152.4402
Apple Braeburn,89.3516,98.9575,151.9176
Apple Braeburn,89.5271,98.5642,151.7381
Apple Braeburn,79.4664,89.0189,154.0257
Apple Braeburn,89.2515,98.3719,151.1718
Apple Braeburn,89.4696,98.027,150.9584
Apple Braeburn,89.167,97.6553,150.3452
Apple Braeburn,89.2112,97.382,150.1261
Apple Braeburn,89.1163,97.1496,149.6866
Apple Braeburn,89.2494,96.7688,149.5032
Apple Braeburn,89.002,96.5179,148.9004
Apple Braeburn,88.8524,96.0625,148.63
Apple Braeburn,88.6085,95.7104,148.0802
Apple Braeburn,88.7009,95.4097,147.873
Apple Braeburn,79.5572,89.658,154.4969
Apple Braeburn,88.6069,95.1586,147.3945
Apple Braeburn,88.6123,94.8756,147.2987
Apple Braeburn,88.3516,94.5372,146.7893
Apple Braeburn,88.5544,94.4089,146.6476
Apple Braeburn,88.4024,94.1016,146.2892
Apple Braeburn,88.4875,93.8023,146.2026
Apple Braeburn,88.1959,93.4808,145.7433
Apple Braeburn,88.3082,93.281,145.8266
Apple Braeburn,88.0729,93.0257,145.4006
Apple Braeburn,88.3382,93.0522,145.6509
Apple Braeburn,79.9334,90.0528,155.1509
Apple Braeburn,75.0576,81.5335,146.5962
Apple Braeburn,88.0984,92.7833,145.2422
Apple Braeburn,88.1913,92.4763,145.1989
Apple Braeburn,88.1317,92.3307,145.0673
Apple Braeburn,88.4098,92.3271,145.2615
Apple Braeburn,88.0711,92.0026,144.9266
Apple Braeburn,88.1812,91.8455,145.0141
Apple Braeburn,88.0946,91.7719,144.9
Apple Braeburn,88.1417,91.5742,144.889
Apple Braeburn,87.947,91.4831,144.9239
Apple Braeburn,88.1267,91.3337,145.0882
Apple Braeburn,76.0714,86.8825,153.2606
Apple Braeburn,87.6916,91.0994,144.8485
Apple Braeburn,87.5595,90.8363,145.1115
Apple Braeburn,86.8961,90.2896,144.6048
Apple Braeburn,86.6362,89.8047,144.6071
Apple Braeburn,86.2686,89.4874,144.4773
Apple Braeburn,86.134,89.1613,144.6557
Apple Braeburn,85.7223,88.8263,144.4748
Apple Braeburn,85.6245,88.5889,144.7036
Apple Braeburn,85.2481,88.2732,144.5529
Apple Braeburn,85.146,87.9923,144.7086
Apple Braeburn,80.2089,90.9744,156.0115
Apple Braeburn,84.8351,87.8277,144.6475
Apple Braeburn,84.8549,87.6615,144.9099
Apple Braeburn,84.6742,87.6085,144.9926
Apple Braeburn,84.6636,87.5932,145.486
Apple Braeburn,84.2774,87.3003,145.1696
Apple Braeburn,84.2944,87.1738,145.4425
Apple Braeburn,84.0737,87.028,145.4104
Apple Braeburn,84.0968,86.8716,145.6216
Apple Braeburn,84.0132,86.9103,145.6658
Apple Braeburn,83.8687,86.6021,145.7446
Apple Braeburn,80.1572,91.5419,156.2918
Apple Braeburn,83.5027,86.4102,145.5785
Apple Braeburn,83.5562,86.3179,145.7496
Apple Braeburn,82.8753,85.8636,145.311
Apple Braeburn,82.7802,85.6347,145.3457
Apple Braeburn,82.3386,85.2844,145.0331
Apple Braeburn,82.0953,85.0636,145.1086
Apple Braeburn,81.6651,84.8049,144.7256
Apple Braeburn,81.5663,84.4559,144.5589
Apple Braeburn,81.0346,84.0638,144.0689
Apple Braeburn,80.8095,83.6557,143.9197
Apple Braeburn,80.5537,92.2397,157.1235
Apple Braeburn,80.3049,83.2932,143.4899
Apple Braeburn,80.0437,82.838,143.2045
Apple Braeburn,79.5515,82.5289,142.7706
Apple Braeburn,79.5408,82.3618,142.7304
Apple Braeburn,79.2171,82.1762,142.3333
Apple Braeburn,78.9596,81.682,142.102
Apple Braeburn,78.4339,81.4111,141.6096
Apple Braeburn,78.23,81.2179,141.6107
Apple Braeburn,77.6795,80.8446,140.8654
Apple Braeburn,77.6747,80.6043,140.7962
Apple Braeburn,80.7644,92.9089,157.3876
Apple Braeburn,77.1477,80.1193,140.2724
Apple Braeburn,77.0661,79.9049,140.1818
Apple Braeburn,76.5441,79.5361,139.6585
Apple Braeburn,76.3869,79.1935,139.4896
Apple Braeburn,75.9919,78.9792,139.0459
Apple Braeburn,75.7439,78.6484,138.8775
Apple Braeburn,75.4931,78.4743,138.5914
Apple Braeburn,75.4355,78.2611,138.5039
Apple Braeburn,78.9801,81.8819,140.7053
Apple Braeburn,78.7839,81.7289,140.8075
Apple Braeburn,77.5254,90.0173,156.0049
Apple Braeburn,78.4807,81.5201,140.3028
Apple Braeburn,78.6778,81.444,140.3504
Apple Braeburn,78.43,81.3544,140.1264
Apple Braeburn,78.5472,81.289,140.1926
Apple Braeburn,78.3861,81.2453,139.928
Apple Braeburn,78.4259,81.166,140.0266
Apple Braeburn,78.2652,81.1152,139.8577
Apple Braeburn,82.0435,84.7639,142.3275
Apple Braeburn,81.9458,84.7534,142.2082
Apple Braeburn,82.0151,84.7063,142.4095
Apple Braeburn,77.71,90.7743,156.4341
Apple Braeburn,81.8065,84.7048,142.1895
Apple Braeburn,81.9216,84.7794,142.6188
Apple Braeburn,81.7015,84.6964,142.2945
Apple Braeburn,82.0064,84.7408,142.6153
Apple Braeburn,81.7568,84.6584,142.6248
Apple Braeburn,81.8516,84.6883,142.8617
Apple Braeburn,81.7331,84.7243,142.8118
Apple Braeburn,81.8684,84.7091,143.133
Apple Braeburn,81.755,84.7127,143.2803
Apple Braeburn,81.8148,84.6813,143.5596
Apple Braeburn,78.0166,91.3003,157.0002
Apple Braeburn,81.6667,84.7284,143.6193
Apple Braeburn,81.7292,84.7287,143.8847
Apple Braeburn,81.5369,84.6416,144.0259
Apple Braeburn,77.6143,81.0228,142.0747
Apple Braeburn,77.4372,81.001,141.8839
Apple Braeburn,77.4552,80.8319,142.0823
Apple Braeburn,77.2683,80.7903,142.2194
Apple Braeburn,77.3664,80.7754,142.5
Apple Braeburn,77.1338,80.8013,142.5199
Apple Braeburn,77.3194,80.9238,142.8699
Apple Braeburn,78.0792,92.0777,157.2775
Apple Braeburn,77.0823,80.9097,142.7829
Apple Braeburn,77.3654,81.0926,143.2419
Apple Braeburn,77.2225,81.1602,143.3181
Apple Braeburn,77.3549,81.2656,143.6092
Apple Braeburn,77.2602,81.363,143.7047
Apple Braeburn,77.4701,81.7645,144.3419
Apple Braeburn,77.2493,81.8015,144.1527
Apple Braeburn,77.6366,81.9198,144.545
Apple Braeburn,77.5592,82.1044,144.5875
Apple Braeburn,77.8061,82.2433,144.9545
Apple Braeburn,82.5906,96.4744,160.1748
Apple Braeburn,75.0147,81.818,146.7616
Apple Braeburn,77.7316,82.4154,145.1089
Apple Braeburn,77.9444,82.5879,145.3844
Apple Braeburn,77.8266,82.7327,145.4843
Apple Braeburn,78.1291,82.9227,145.8277
Apple Braeburn,77.9388,83.0517,145.924
Apple Braeburn,78.1861,83.1884,146.1967
Apple Braeburn,78.1103,83.4471,146.3232
Apple Braeburn,78.1589,83.8543,146.8609
Apple Braeburn,78.0347,83.8338,146.8362
Apple Braeburn,78.2089,83.944,147.158
Apple Braeburn,79.1554,93.9885,158.6964
Apple Braeburn,78.1615,84.1816,147.2537
Apple Braeburn,78.4395,84.3802,147.7511
Apple Braeburn,78.4438,84.6233,147.9019
Apple Braeburn,78.6798,84.8357,148.3008
Apple Braeburn,78.5889,85.0532,148.4078
Apple Braeburn,74.9154,81.4513,146.4343
Apple Braeburn,74.7594,81.6552,146.5717
Apple Braeburn,78.9063,85.5487,149.2891
Apple Braeburn,78.7286,85.7547,149.4067
Apple Braeburn,78.6073,85.9537,149.8613
Apple Braeburn,79.747,94.6914,159.3745
Apple Braeburn,78.4858,85.9279,149.837
Apple Crimson Snow,81.3014,84.2677,133.5985
Apple Crimson Snow,82.9035,86.1879,138.9763
Apple Crimson Snow,94.9298,104.1881,163.3015
Apple Crimson Snow,82.3315,85.7533,138.825
Apple Crimson Snow,84.2291,87.5629,140.7984
Apple Crimson Snow,82.9936,86.5338,140.3385
Apple Crimson Snow,83.8209,87.1074,141.2088
Apple Crimson Snow,90.4701,93.0748,158.8
Apple Crimson Snow,90.5661,93.0811,158.5996
Apple Crimson Snow,90.7579,92.9313,158.4974
Apple Crimson Snow,90.6737,92.8674,158.2605
Apple Crimson Snow,84.8813,88.2225,142.1297
Apple Crimson Snow,91.177,93.1774,157.9869
Apple Crimson Snow,90.238,92.0971,157.3556
Apple Crimson Snow,90.3131,91.8548,157.309
Apple Crimson Snow,89.6398,91.166,156.6867
Apple Crimson Snow,90.8129,92.0812,157.0937
Apple Crimson Snow,91.2667,92.5036,156.9818
Apple Crimson Snow,90.8532,91.8526,156.5972
Apple Crimson Snow,91.8997,92.9339,156.994
Apple Crimson Snow,92.7464,93.545,157.3409
Apple Crimson Snow,91.4663,92.2594,156.2525
Apple Crimson Snow,83.2248,86.4325,141.4165
Apple Crimson Snow,93.0744,93.5647,157.1367
Apple Crimson Snow,93.3437,93.9192,156.8667
Apple Crimson Snow,93.002,93.2982,156.2177
Apple Crimson Snow,92.9294,93.2671,156.1045
Apple Crimson Snow,93.1501,93.2173,155.9805
Apple Crimson Snow,93.1045,93.2714,155.7016
Apple Crimson Snow,93.4085,93.3997,155.5458
Apple Crimson Snow,95.2764,95.3106,156.5243
Apple Crimson Snow,95.0752,94.8121,156.1206
Apple Crimson Snow,93.9453,93.8511,155.1431
Apple Crimson Snow,85.4356,88.6369,143.1611
Apple Crimson Snow,94.1056,93.7818,155.0672
Apple Crimson Snow,94.7416,94.4852,155.2159
Apple Crimson Snow,95.9897,95.607,155.6916
Apple Crimson Snow,95.3991,95.0617,155.0245
Apple Crimson Snow,95.5709,95.0643,154.7281
Apple Crimson Snow,95.5658,95.1055,154.5614
Apple Crimson Snow,95.3373,94.7173,154.2889
Apple Crimson Snow,95.3418,94.8796,153.9931
Apple Crimson Snow,95.6318,94.966,153.8192
Apple Crimson Snow,96.0664,95.5963,153.7811
Apple Crimson Snow,86.5193,89.7037,144.1613
Apple Crimson Snow,95.8613,95.2859,153.4815
Apple Crimson Snow,95.2865,94.8452,152.8356
Apple Crimson Snow,95.1061,94.555,152.4915
Apple Crimson Snow,95.6053,95.1882,152.5429
Apple Crimson Snow,95.9585,95.389,152.5238
Apple Crimson Snow,96.5121,96.0665,152.594
Apple Crimson Snow,95.205,94.5838,151.3146
Apple Crimson Snow,96.2655,95.7689,151.9226
Apple Crimson Snow,96.2954,95.6173,151.806
Apple Crimson Snow,97.2347,96.6869,152.1019
Apple Crimson Snow,86.4101,89.7369,144.3953
Apple Crimson Snow,82.8147,85.9898,135.4497
Apple Crimson Snow,97.4545,96.7413,151.9828
Apple Crimson Snow,98.3582,97.7996,152.418
Apple Crimson Snow,98.5194,97.9151,152.3664
Apple Crimson Snow,97.4856,97.0337,151.426
Apple Crimson Snow,98.5458,97.9971,151.9761
Apple Crimson Snow,98.9201,98.6126,151.9479
Apple Crimson Snow,98.5831,98.2514,151.6297
Apple Crimson Snow,99.1031,98.8689,151.818
Apple Crimson Snow,99.9876,99.6799,151.9779
Apple Crimson Snow,99.8256,99.7131,151.9331
Apple Crimson Snow,87.0777,90.2151,145.3367
Apple Crimson Snow,100.18,99.8873,152.012
Apple Crimson Snow,99.1269,99.0182,151.1892
Apple Crimson Snow,99.9116,99.7329,151.5556
Apple Crimson Snow,100.8532,100.8627,151.932
Apple Crimson Snow,99.7774,99.6416,151.09
Apple Crimson Snow,99.3419,99.3738,150.6685
Apple Crimson Snow,99.5396,99.5121,150.7072
Apple Crimson Snow,99.2552,99.2933,150.3305
Apple Crimson Snow,99.5271,99.5094,150.3371
Apple Crimson Snow,99.5083,99.6544,150.2165
Apple Crimson Snow,87.2414,90.4686,145.7922
Apple Crimson Snow,99.3406,99.4504,149.798
Apple Crimson Snow,99.0396,99.2364,149.5742
Apple Crimson Snow,99.325,99.3898,149.6723
Apple Crimson Snow,98.4618,98.7111,149.0724
Apple Crimson Snow,98.7044,98.9203,149.1777
Apple Crimson Snow,98.3334,98.7041,148.7346
Apple Crimson Snow,98.098,98.3926,148.5536
Apple Crimson Snow,98.3073,98.7121,148.5604
Apple Crimson Snow,98.2374,98.5078,148.3834
Apple Crimson Snow,98.3157,98.7833,148.29
